Month-Year,Rail Station Name,NLC,Month Name (Travel Date),Calendar Year (Travel Date),Count of Taps
2018-06,South Ruislip,710,June,2018,156640
2018-06,South Ealing,704,June,2018,271648
2018-06,Boston Manor,526,June,2018,185033
2018-06,Kingsbury,624,June,2018,411721
2018-06,South Harrow,707,June,2018,183832
2018-06,Borough,525,June,2018,437176
2018-06,Woodside Park,771,June,2018,197981
2018-06,Totteridge,730,June,2018,210637
2018-06,Bond Street,524,June,2018,3031077
2018-06,South Kensington,708,June,2018,2532491
2018-06,Knightsbridge,626,June,2018,1355128
2018-06,Woodford,769,June,2018,478599
2018-06,Tufnell Park,733,June,2018,306577
2018-06,Shepherds Bush LU,700,June,2018,1680819
2018-06,Caledonian Road,534,June,2018,433054
2018-06,Southgate,706,June,2018,441232
2018-06,Roding Valley,688,June,2018,15993
